date,open,high,low,close,adjusted close,volume,divident amount
2019-01-31,128.99,171.68,128.56,166.69,166.5121,527561443.0,0.0
2019-02-28,165.84,172.47,159.59,161.45,161.2777,302243555.0,0.0
2019-03-29,162.6,174.3,159.28,166.69,166.5121,388172717.0,0.0
2019-04-30,167.83,198.48,167.28,193.4,193.1936,382184268.0,0.0
2019-05-31,194.78,196.18,177.16,177.47,177.2806,286821828.0,0.0
2019-06-28,175.0,198.88,160.84,193.0,192.794,426428460.0,0.0
2019-07-31,195.21,208.66,191.93,194.23,194.0227,351062381.0,0.0
2019-08-30,194.17,198.47,176.66,185.67,185.4719,295147285.0,0.0
2019-09-30,184.0,193.1,175.66,178.08,177.89,267509200.0,0.0
2019-10-31,179.15,198.09,173.09,191.65,191.4455,329115789.0,0.0
2019-11-29,192.85,203.8,188.54,201.64,201.4248,258577372.0,0.0
2019-12-31,202.13,208.93,193.17,205.25,205.031,278225688.0,0.0
2020-01-31,206.75,224.2,201.06,201.91,201.6945,347787838.0,0.0
2020-02-28,203.44,218.77,181.82,192.47,192.2646,317634511.0,0.0
2020-03-31,194.03,197.24,137.1,166.8,166.622,649513169.0,0.0
2020-04-30,161.62,209.69,150.83,204.71,204.4915,541538950.0,0.0
2020-05-29,201.6,240.9,198.76,225.09,224.8498,509432028.0,0.0
2020-06-30,224.59,245.19,207.11,227.07,226.8277,548043739.0,0.0
2020-07-31,228.5,255.85,226.9,253.67,253.3993,516844579.0,0.0
2020-08-31,252.65,304.67,247.43,293.2,292.8871,574266263.0,0.0
2020-09-30,294.71,303.6,244.13,261.9,261.6205,499179596.0,0.0
2020-10-30,265.35,285.24,254.82,263.11,262.8292,454176190.0,0.0
2020-11-30,264.6,297.38,257.34,276.97,276.6744,356724889.0,0.0
2020-12-31,279.16,291.78,264.63,273.16,272.8685,363610072.0,0.0
2021-01-29,274.78,286.79,244.61,258.33,258.0543,452021869.0,0.0
2021-02-26,259.52,276.6,254.04,257.62,257.3451,315517591.0,0.0
2021-03-31,260.82,299.705,253.5,294.53,294.2157,497455263.0,0.0
2021-04-30,298.4,331.81,296.04,325.08,324.7331,421280404.0,0.0
2021-05-28,326.17,333.78,298.19,328.73,328.3792,353419284.0,0.0
2021-06-30,330.15,358.14,323.48,347.71,347.3389,344609593.0,0.0
2021-07-30,346.82,377.5499,334.5,356.3,355.9198,334221334.0,0.0
2021-08-31,358.1,382.759,347.7,379.38,378.9751,226135690.0,0.0
2021-09-30,379.59,384.33,338.15,339.39,339.0278,338133948.0,0.0
2021-10-29,341.61,345.02,308.11,323.57,323.2247,588382461.0,0.0
2021-11-30,326.04,353.83,323.2,324.46,324.1137,440274313.0,0.0
2021-12-31,330.29,352.71,299.5,336.35,335.9911,437947523.0,0.0
2022-01-31,338.295,343.0854,289.01,313.26,312.9257,426742200.0,0.0
2022-02-28,314.555,328.0,190.22,211.03,210.8048,1127891130.0,0.0
2022-03-31,209.87,231.151,185.82,222.36,222.1227,730939429.0,0.0
2022-04-29,224.55,236.86,169.0,200.47,200.2561,671047219.0,0.0
2022-05-31,201.165,224.3,176.11,193.64,193.4334,680370106.0,0.0
2022-06-30,196.51,202.03,154.25,161.25,161.0779,686376324.0,0.0
2022-07-29,160.31,183.85,154.85,159.1,158.9302,586548218.0,0.0
2022-08-31,157.25,183.1,155.2301,162.93,162.7561,551637733.0,0.0
2022-09-30,163.58,171.39,134.1201,135.68,135.5352,634744508.0,0.0
2022-10-31,137.14,142.3901,92.6,93.16,93.0606,1114165581.0,0.0
2022-11-30,94.33,118.74,88.09,118.1,117.974,1063814422.0,0.0
2022-12-30,119.198,124.67,112.46,120.34,120.2116,653019661.0,0.0
2023-01-31,122.82,153.19,122.28,148.97,148.811,548770812.0,0.0
2023-02-28,148.03,197.16,147.06,174.94,174.7533,772199855.0,0.0
2023-03-31,174.59,212.17,171.43,211.94,211.7138,690450690.0,0.0
2023-04-28,208.84,241.685,207.13,240.32,240.0635,439810216.0,0.0
2023-05-31,238.615,268.65,229.85,264.72,264.4375,487059059.0,0.0
2023-06-30,265.9,289.79,258.88,286.98,286.6737,481179600.0,0.0
2023-07-31,286.7,326.2,284.8499,318.6,318.26,625339455.0,0.0
2023-08-31,317.535,324.14,274.38,295.89,295.5742,424632813.0,0.0
2023-09-29,299.37,312.87,286.79,300.21,299.8896,406801410.0,0.0
2023-10-31,302.74,330.54,279.403,301.27,300.9485,511372074.0,0.0
2023-11-30,301.85,342.92,301.85,327.15,326.8009,329354280.0,0.0
2023-12-29,325.48,361.9,313.66,353.96,353.5823,334028198.0,0.0
2024-01-31,351.32,406.36,340.01,390.14,389.7237,347229642.0,0.0
2024-02-22,393.94,494.3599,393.05,484.03,484.03,412903091.0,0.5
