date,open,high,low,close,adjusted close,volume,divident amount
2019-01-31,99.55,107.9,97.2,104.43,98.9657,714204787.0,0.0
2019-02-28,103.78,113.24,102.35,112.03,106.6239,469095970.0,0.46
2019-03-29,112.89,120.82,108.8,117.94,112.2487,589045341.0,0.0
2019-04-30,118.95,131.37,118.1,130.6,124.2977,433157868.0,0.0
2019-05-31,130.53,130.65,123.04,123.68,118.1413,547218448.0,0.46
2019-06-28,123.85,138.4,119.01,133.96,127.961,508324437.0,0.0
2019-07-31,136.63,141.68,134.67,136.27,130.1675,484553299.0,0.0
2019-08-30,137.0,140.94,130.78,137.86,132.1385,585509525.0,0.46
2019-09-30,136.61,142.37,134.51,139.03,133.2599,477645820.0,0.0
2019-10-31,139.66,145.67,133.22,143.37,137.4198,560654410.0,0.0
2019-11-29,144.26,152.5,142.97,151.38,145.5919,393028043.0,0.51
2019-12-31,151.81,159.55,146.65,157.7,151.6703,452664147.0,0.0
2020-01-31,158.78,174.05,156.51,170.23,163.7212,555989763.0,0.0
2020-02-28,170.43,190.7,152.0,162.01,156.2398,887894931.0,0.51
2020-03-31,165.31,175.0,132.52,157.71,152.093,1612954386.0,0.0
2020-04-30,153.0,180.4,150.36,179.21,172.8272,984810925.0,0.0
2020-05-29,175.8,187.51,173.8,183.25,177.2088,688873081.0,0.51
2020-06-30,182.54,204.4,181.35,203.51,196.8009,765012029.0,0.0
2020-07-31,203.14,216.38,197.51,205.01,198.2514,769842002.0,0.0
2020-08-31,211.52,231.15,203.14,225.53,218.6253,692382980.0,0.51
2020-09-30,225.51,232.86,196.25,210.33,203.8907,768528897.0,0.0
2020-10-30,213.49,225.21,199.62,202.47,196.2713,631674298.0,0.0
2020-11-30,204.29,228.12,200.12,214.07,208.0667,573325190.0,0.56
2020-12-31,214.51,227.18,209.11,222.42,216.1826,593966967.0,0.0
2021-01-29,222.53,242.64,211.94,231.96,225.455,647897096.0,0.0
2021-02-26,235.06,246.13,227.88,232.38,226.3812,489396912.0,0.56
2021-03-31,235.9,241.05,224.26,235.77,229.6837,724981506.0,0.0
2021-04-30,238.47,263.19,238.0501,252.18,245.6701,568698272.0,0.0
2021-05-28,253.4,254.35,238.07,249.68,243.7949,495089530.0,0.56
2021-06-30,251.23,271.65,243.0,270.9,264.5147,508388858.0,0.0
2021-07-30,269.61,290.15,269.6,284.91,278.1945,522303043.0,0.0
2021-08-31,286.36,305.84,283.74,301.88,295.3323,440360333.0,0.56
2021-09-30,302.865,305.32,281.62,281.92,275.8052,502931199.0,0.0
2021-10-29,282.1217,332.0,280.25,331.62,324.4272,516523658.0,0.0
2021-11-30,331.355,349.67,326.37,330.59,324.0108,507120518.0,0.62
2021-12-31,335.13,344.3,317.25,336.32,329.6268,625743806.0,0.0
2022-01-31,335.35,338.0,276.05,310.98,304.7911,946705316.0,0.0
2022-02-28,310.41,315.12,271.52,298.79,293.4499,697204843.0,0.62
2022-03-31,296.4,315.95,270.0,308.31,302.7998,732627846.0,0.0
2022-04-29,309.37,315.11,270.0,277.52,272.5601,622644983.0,0.0
2022-05-31,277.71,290.88,246.44,271.87,267.6626,742766114.0,0.62
2022-06-30,275.195,277.69,241.51,256.83,252.8554,621501474.0,0.0
2022-07-29,256.39,282.0,245.94,280.74,276.3953,534986150.0,0.0
2022-08-31,277.82,294.18,260.66,261.47,257.9714,476959033.0,0.62
2022-09-30,258.87,267.45,232.73,232.9,229.7837,575416752.0,0.0
2022-10-31,235.41,251.04,219.13,232.13,229.024,671366804.0,0.0
2022-11-30,234.6,255.33,213.431,255.14,252.4342,615328220.0,0.68
2022-12-30,253.87,263.915,233.87,239.82,237.2767,591366468.0,0.0
2023-01-31,243.08,249.83,219.35,247.81,245.182,666168068.0,0.0
2023-02-28,248.0,276.76,245.47,249.42,247.398,615540778.0,0.68
2023-03-31,250.76,289.27,245.61,288.3,285.9628,747751976.0,0.0
2023-04-28,286.52,308.93,275.37,307.26,304.7691,551356990.0,0.0
2023-05-31,306.97,335.94,303.4,328.39,326.4331,600453246.0,0.68
2023-06-30,325.93,351.47,322.5,340.54,338.5107,547748450.0,0.0
2023-07-31,339.19,366.78,327.0,335.92,333.9183,666956355.0,0.0
2023-08-31,335.19,338.54,311.5508,327.76,326.4984,479669427.0,0.68
2023-09-29,331.31,340.86,309.45,315.75,314.5346,416768824.0,0.0
2023-10-31,316.28,346.2,311.215,338.11,336.8085,540963749.0,0.0
2023-11-30,339.79,384.3,339.65,378.91,378.2173,564165364.0,0.75
2023-12-29,376.76,378.16,362.9,376.04,375.3525,521914675.0,0.0
2024-01-31,373.86,415.32,366.5,397.58,396.8531,525975837.0,0.0
2024-02-22,401.83,420.82,397.22,410.34,410.34,368043735.0,0.75
