date,open,high,low,close,adjusted close,volume,divident amount
2019-01-31,130.64,160.88,127.69,143.75,35.6582,421791107.0,0.0
2019-02-28,144.5,165.28,142.58,154.26,38.305,286143490.0,0.16
2019-03-29,156.27,185.0,144.8,179.56,44.5874,301712810.0,0.0
2019-04-30,183.26,193.47,173.3,181.0,44.9449,236076606.0,0.0
2019-05-31,183.11,184.87,135.39,135.46,33.6754,279518852.0,0.16
2019-06-28,135.91,165.37,132.6,164.23,40.8276,205833345.0,0.0
2019-07-31,172.57,178.89,155.0,168.72,41.9438,210468645.0,0.0
2019-08-30,169.14,173.45,147.39,167.51,41.6844,238715294.0,0.16
2019-09-30,164.58,188.4,163.25,174.07,43.3168,160186748.0,0.0
2019-10-31,175.0,208.9,170.13,201.02,50.0232,194847227.0,0.0
2019-11-29,199.6,221.41,198.59,216.74,53.9746,183460462.0,0.16
2019-12-31,216.46,241.81,200.37,235.3,58.5966,164328924.0,0.0
2020-01-31,238.75,259.5,231.27,236.43,58.878,152923749.0,0.0
2020-02-28,235.7,316.32,235.45,270.07,67.298,296379863.0,0.16
2020-03-31,276.9,284.89,180.68,263.6,65.6857,394309113.0,0.0
2020-04-30,255.65,304.2,238.39,292.28,72.8324,282017179.0,0.0
2020-05-29,284.35,367.27,280.84,355.02,88.4664,312360731.0,0.0
2020-06-30,353.33,385.7,346.32,379.91,94.7119,243002408.0,0.16
2020-07-31,380.83,431.69,376.52,424.59,105.8506,202608883.0,0.0
2020-08-31,429.3,543.0,428.61,534.98,133.371,241733886.0,0.0
2020-09-30,539.2,589.0699,468.17,541.22,134.9656,396511776.0,0.16
2020-10-30,550.32,573.9399,492.0,501.36,125.0256,200593091.0,0.0
2020-11-30,506.31,587.66,495.8,536.06,133.6789,189808791.0,0.0
2020-12-31,539.69,549.25,510.527,522.2,130.2615,128016408.0,0.16
2021-01-29,524.17,559.9743,503.44,519.59,129.6104,153776622.0,0.0
2021-02-26,522.1335,614.9,516.11,548.58,136.8419,166258921.0,0.0
2021-03-31,555.0,557.0,462.66,533.93,133.23,191236844.0,0.16
2021-04-30,542.89,648.566,540.45,600.38,149.8111,167976641.0,0.0
2021-05-28,605.0,651.099,538.36,649.78,162.1377,176367494.0,0.0
2021-06-30,650.8,806.5,636.13,800.1,199.6927,256748671.0,0.16
2021-07-30,805.0,835.0,181.64,194.99,194.666,371371175.0,0.0
2021-08-31,197.0,230.43,187.62,223.85,223.518,641440828.0,0.04
2021-09-30,224.85,229.86,204.67,207.16,206.8528,499956172.0,0.0
2021-10-29,207.5,257.09,195.55,255.67,255.2908,497107602.0,0.0
2021-11-30,256.49,346.47,252.27,326.76,326.2754,1079213759.0,0.0
2021-12-31,332.1947,332.8934,271.45,294.11,293.7112,1105975362.0,0.04
2022-01-31,298.15,307.11,208.88,244.86,244.528,1067591645.0,0.0
2022-02-28,251.04,269.2499,208.9,243.85,243.5193,1064192509.0,0.0
2022-03-31,242.91,289.46,206.5,272.86,272.535,1163311421.0,0.04
2022-04-29,273.75,275.58,182.9,185.47,185.2491,1109910745.0,0.0
2022-05-31,185.405,204.0,155.67,186.72,186.4976,1383046898.0,0.0
2022-06-30,187.24,196.19,148.62,151.59,151.4419,1055676405.0,0.04
2022-07-29,148.99,182.44,140.55,181.63,181.4526,1056635538.0,0.0
2022-08-31,181.82,192.74,149.5851,150.94,150.7926,1206915173.0,0.0
2022-09-30,142.09,145.47,119.4601,121.39,121.3068,1312616395.0,0.04
2022-10-31,123.47,138.5,108.13,134.97,134.8775,1255185787.0,0.0
2022-11-30,138.11,169.98,129.56,169.23,169.154,1060101416.0,0.04
2022-12-30,169.99,187.9,138.84,146.14,146.0743,894615121.0,0.0
2023-01-31,148.51,206.28,140.34,195.37,195.2822,945495814.0,0.0
2023-02-28,196.91,238.88,196.11,232.16,232.0557,1039409020.0,0.0
2023-03-31,231.92,278.3431,222.97,277.77,277.6929,1126657651.0,0.04
2023-04-28,275.09,281.1,262.2,277.49,277.413,742662535.0,0.0
2023-05-31,278.4,419.38,272.4,378.34,378.235,1169406527.0,0.0
2023-06-30,384.89,439.9,373.56,423.02,422.9477,1052802408.0,0.04
2023-07-31,425.17,480.88,413.46,467.29,467.2102,870901174.0,0.0
2023-08-31,464.595,502.66,403.11,493.55,493.4657,1363638357.0,0.0
2023-09-29,497.62,498.0,409.8,434.99,434.9526,858010319.0,0.04
2023-10-31,440.3,476.09,392.3001,407.8,407.765,1014241343.0,0.0
2023-11-30,408.84,505.48,408.69,467.7,467.6598,914975019.0,0.0
2023-12-29,465.25,504.3299,450.1,495.22,495.22,739627720.0,0.04
2024-01-31,492.44,634.93,473.2,615.27,615.27,969880029.0,0.0
2024-02-22,621.0,785.75,616.5,785.38,785.38,845243351.0,0.0
