date,1. open,2. high,3. low,4. close,5. volume
2024-02-06,186.86,189.31,186.7695,189.3,43490759.0
2024-02-05,188.15,189.25,185.84,187.68,69668820.0
2024-02-02,179.86,187.33,179.25,185.85,102551680.0
2024-02-01,183.985,186.95,183.82,186.86,64885408.0
2024-01-31,187.04,187.095,184.35,184.4,55467803.0
2024-01-30,190.94,191.8,187.47,188.04,55859370.0
2024-01-29,192.01,192.2,189.58,191.73,47145622.0
2024-01-26,194.27,194.76,191.94,192.42,44594011.0
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0
2024-01-24,195.42,196.38,194.34,194.5,53463269.0
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0
2024-01-22,192.3,195.33,192.26,193.89,60133852.0
2024-01-19,189.33,191.95,188.82,191.56,68902985.0
2024-01-18,186.09,189.14,185.83,188.63,78005754.0
2024-01-17,181.27,182.93,180.3,182.68,47317433.0
2024-01-16,182.16,184.26,180.934,183.63,65603041.0
2024-01-12,186.06,186.74,185.19,185.92,40477782.0
2024-01-11,186.54,187.05,183.62,185.59,49128408.0
2024-01-10,184.35,186.4,183.92,186.19,46792908.0
2024-01-09,183.92,185.15,182.73,185.14,42841809.0
2024-01-08,182.085,185.6,181.5,185.56,59144470.0
2024-01-05,181.99,182.76,180.17,181.18,62196924.0
2024-01-04,182.15,183.0872,180.88,181.91,71983570.0
2024-01-03,184.22,185.88,183.43,184.25,58414460.0
2024-01-02,187.15,188.44,183.885,185.64,82488674.0
2023-12-29,193.9,194.4,191.725,192.53,42672148.0
2023-12-28,194.14,194.66,193.17,193.58,34049898.0
2023-12-27,192.49,193.5,191.09,193.15,47899806.0
2023-12-26,193.61,193.89,192.83,193.05,28919310.0
2023-12-22,195.18,195.41,192.97,193.6,37149570.0
2023-12-21,196.1,197.08,193.5,194.68,46482549.0
2023-12-20,196.9,197.68,194.83,194.83,52242815.0
2023-12-19,196.16,196.95,195.89,196.94,40233138.0
2023-12-18,196.09,196.63,194.39,195.89,55751861.0
2023-12-15,197.53,198.3999,197.0,197.57,128538401.0
2023-12-14,198.02,199.62,196.16,198.11,66831572.0
2023-12-13,195.09,198.0,194.85,197.96,70404183.0
2023-12-12,193.08,194.72,191.721,194.71,52696900.0
2023-12-11,193.11,193.49,191.42,193.18,60943699.0
2023-12-08,194.2,195.99,193.67,195.71,53406358.0
2023-12-07,193.63,195.0,193.59,194.27,47477655.0
2023-12-06,194.45,194.76,192.11,192.32,40895115.0
2023-12-05,190.21,194.4,190.18,193.42,66628398.0
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0
2023-12-01,190.33,191.56,189.23,191.24,45704823.0
2023-11-30,189.84,190.32,188.19,189.95,48794366.0
2023-11-29,190.9,192.09,188.97,189.37,43014224.0
2023-11-28,189.78,191.08,189.4,190.4,38415419.0
2023-11-27,189.92,190.67,188.9,189.79,40552609.0
2023-11-24,190.87,190.9,189.25,189.97,24048344.0
2023-11-22,191.49,192.93,190.825,191.31,39630011.0
2023-11-21,191.41,191.52,189.74,190.64,38134485.0
2023-11-20,189.89,191.905,189.88,191.45,46538614.0
2023-11-17,190.25,190.38,188.57,189.69,50941404.0
2023-11-16,189.57,190.96,188.65,189.71,54412915.0
2023-11-15,187.845,189.5,187.78,188.01,53790499.0
